,"Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)"
,"2016","2016","2016","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Country","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Afghanistan","4.7","7.6","1.5","4.8","7.8","1.5","5.1","8.6","1.4","6.3","10.8","1.5","5.7","10.0","1.0"
"Albania","6.3","7.9","4.7","6.0","7.6","4.4","7.8","9.5","6.1","6.7","7.7","5.7","5.5","7.4","3.5"
"Algeria","3.2","4.7","1.7","3.2","4.8","1.7","3.3","4.9","1.8","3.8","5.3","2.2","4.1","5.6","2.5"
"Angola","4.7","7.0","2.5","5.0","7.5","2.6","5.7","8.7","2.8","7.2","11.0","3.7","7.9","11.9","4.0"
"Antigua and Barbuda","0.5","0.0","0.9","0.8","0.0","1.5","0.3","0.5","0.0","1.2","2.4","0.0","2.0","4.2","0.1"
"Argentina","9.2","15.1","3.5","8.8","14.5","3.4","8.7","14.3","3.3","9.0","14.4","3.9","9.5","15.6","3.7"
"Armenia","6.6","10.8","2.8","7.0","11.5","3.0","6.0","10.1","2.4","4.4","7.4","1.7","3.3","5.5","1.3"
"Australia","13.2","19.5","7.0","13.8","20.4","7.2","12.5","18.6","6.3","12.3","18.6","6.0","13.2","20.4","6.1"
"Austria","15.6","23.9","7.7","16.0","24.9","7.5","16.0","25.0","7.5","17.3","26.6","8.6","20.0","30.0","10.5"
"Azerbaijan","2.6","4.2","1.1","2.7","4.3","1.1","3.1","5.0","1.2","3.2","5.2","1.3","2.2","3.5","0.9"
"Bahamas","1.7","3.0","0.5","1.8","3.0","0.5","2.0","3.4","0.6","2.2","3.8","0.7","2.0","3.4","0.7"
"Bahrain","5.9","8.4","1.9","5.9","8.3","2.0","5.2","6.9","2.4","7.0","9.9","2.7","6.7","9.4","3.1"
"Bangladesh","5.9","4.7","7.0","6.1","4.7","7.4","6.4","4.3","8.5","6.3","4.5","8.2","6.7","5.7","7.7"
"Barbados","0.8","1.0","0.5","0.7","1.0","0.5","2.1","3.0","1.3","3.7","3.9","3.4","2.1","3.7","0.6"
"Belarus","26.2","46.9","8.2","26.3","47.0","8.3","38.2","68.1","12.3","45.1","80.0","14.5","43.1","76.6","13.5"
"Belgium","20.7","27.8","13.8","20.1","27.0","13.4","21.3","29.3","13.6","21.2","30.6","12.1","22.7","31.9","14.0"
"Belize","4.7","7.9","1.6","4.8","7.9","1.7","4.9","8.0","1.9","4.9","8.0","1.9","5.5","9.0","2.0"
"Benin","9.9","13.9","5.9","9.9","13.9","6.0","9.6","13.4","5.9","9.7","13.5","6.1","9.5","13.2","6.0"
"Bhutan","11.4","14.0","8.5","11.6","14.1","8.7","11.1","13.4","8.4","12.2","14.9","9.2","12.4","15.2","9.6"
"Bolivia (Plurinational State of)","12.2","15.8","8.6","12.4","15.9","8.8","14.1","17.7","10.4","15.3","19.2","11.4","16.4","20.0","12.7"
"Bosnia and Herzegovina","8.8","14.1","3.6","8.9","14.3","3.7","8.0","12.9","3.3","9.3","15.0","3.7","10.7","17.3","4.4"
"Botswana","9.3","14.2","4.5","9.7","14.8","4.6","11.1","17.1","5.3","12.6","20.4","5.0","11.8","19.7","4.1"
"Brazil","6.5","10.0","3.1","6.5","9.9","3.2","5.7","8.7","2.8","5.5","8.5","2.5","4.8","7.6","2.0"
"Brunei Darussalam","4.6","6.4","2.7","4.5","6.2","2.6","3.7","5.3","2.0","3.3","4.8","1.7","2.8","4.1","1.4"
